Coord_x (m);Coord_y (m);Punto de Vigilancia;Camara Gran Angular;Camara Angulo Estrecho;Sensor Volumetrico;Detector sismico;Detector humo
30.0;480.0;0.0;0.0;0.0;1.0;0.0;0.0
30.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
40.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
40.0;260.0;0.0;0.0;0.0;1.0;0.0;0.0
40.0;270.0;0.0;0.0;0.0;1.0;1.0;0.0
40.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;310.0;0.0;0.0;0.0;1.0;1.0;1.0
40.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;330.0;0.0;1.0;0.0;0.0;0.0;0.0
40.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
40.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;390.0;0.0;0.0;1.0;1.0;0.0;0.0
40.0;400.0;0.0;0.0;0.0;0.0;0.0;1.0
40.0;410.0;0.0;0.0;0.0;1.0;1.0;0.0
40.0;420.0;0.0;1.0;0.0;0.0;0.0;0.0
40.0;430.0;0.0;0.0;0.0;0.0;1.0;0.0
40.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;450.0;0.0;0.0;0.0;0.0;0.0;1.0
40.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;470.0;0.0;0.0;0.0;1.0;0.0;0.0
40.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
40.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
50.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
50.0;260.0;0.0;0.0;1.0;0.0;0.0;0.0
50.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;280.0;0.0;0.0;1.0;0.0;0.0;0.0
50.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;310.0;0.0;0.0;0.0;0.0;1.0;1.0
50.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;330.0;0.0;0.0;0.0;1.0;0.0;0.0
50.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;350.0;0.0;1.0;0.0;0.0;0.0;0.0
50.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;370.0;1.0;1.0;0.0;0.0;0.0;1.0
50.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;390.0;0.0;1.0;0.0;1.0;0.0;0.0
50.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;420.0;0.0;0.0;0.0;0.0;1.0;0.0
50.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;440.0;0.0;1.0;0.0;0.0;0.0;0.0
50.0;450.0;0.0;1.0;0.0;0.0;0.0;0.0
50.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
50.0;490.0;1.0;1.0;0.0;0.0;0.0;1.0
60.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
60.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;270.0;0.0;1.0;0.0;0.0;0.0;0.0
60.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;300.0;0.0;0.0;0.0;1.0;0.0;0.0
60.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;320.0;0.0;1.0;0.0;0.0;0.0;0.0
60.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
60.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;390.0;0.0;0.0;1.0;1.0;0.0;0.0
60.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;410.0;0.0;0.0;0.0;1.0;0.0;0.0
60.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;430.0;0.0;1.0;0.0;0.0;0.0;0.0
60.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;460.0;0.0;0.0;0.0;0.0;1.0;1.0
60.0;470.0;0.0;1.0;0.0;0.0;0.0;0.0
60.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
60.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
70.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
70.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;270.0;0.0;0.0;1.0;0.0;1.0;0.0
70.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;320.0;0.0;1.0;0.0;0.0;0.0;0.0
70.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;350.0;0.0;0.0;1.0;0.0;0.0;0.0
70.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
70.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;390.0;0.0;0.0;0.0;1.0;0.0;0.0
70.0;400.0;0.0;1.0;0.0;0.0;0.0;0.0
70.0;410.0;0.0;0.0;0.0;0.0;0.0;1.0
70.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;440.0;0.0;1.0;0.0;0.0;0.0;0.0
70.0;450.0;0.0;0.0;0.0;1.0;0.0;1.0
70.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;470.0;0.0;0.0;1.0;0.0;0.0;1.0
70.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
70.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
80.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
80.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;270.0;0.0;0.0;0.0;0.0;1.0;0.0
80.0;280.0;0.0;0.0;0.0;1.0;0.0;0.0
80.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;300.0;0.0;0.0;0.0;1.0;0.0;0.0
80.0;310.0;0.0;0.0;1.0;0.0;0.0;0.0
80.0;320.0;0.0;0.0;1.0;0.0;0.0;1.0
80.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;340.0;0.0;1.0;0.0;0.0;0.0;1.0
80.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
80.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;430.0;0.0;0.0;1.0;0.0;0.0;0.0
80.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;460.0;0.0;0.0;0.0;1.0;0.0;1.0
80.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
80.0;480.0;0.0;1.0;0.0;0.0;0.0;0.0
80.0;490.0;1.0;1.0;0.0;0.0;0.0;0.0
90.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
90.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;270.0;0.0;0.0;0.0;1.0;0.0;0.0
90.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;300.0;0.0;0.0;1.0;0.0;0.0;0.0
90.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;340.0;0.0;1.0;0.0;0.0;0.0;0.0
90.0;350.0;0.0;0.0;0.0;0.0;0.0;1.0
90.0;360.0;0.0;1.0;0.0;0.0;0.0;0.0
90.0;370.0;1.0;0.0;0.0;1.0;0.0;0.0
90.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;420.0;0.0;1.0;1.0;1.0;1.0;1.0
90.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;450.0;0.0;0.0;0.0;1.0;1.0;0.0
90.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
90.0;480.0;0.0;0.0;0.0;1.0;0.0;1.0
90.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
100.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
100.0;260.0;0.0;0.0;1.0;0.0;0.0;0.0
100.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;290.0;0.0;0.0;1.0;0.0;0.0;1.0
100.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;310.0;0.0;0.0;1.0;0.0;0.0;0.0
100.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;340.0;0.0;0.0;1.0;0.0;0.0;0.0
100.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;360.0;0.0;0.0;0.0;1.0;0.0;0.0
100.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
100.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;410.0;0.0;0.0;0.0;0.0;1.0;1.0
100.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;450.0;0.0;1.0;1.0;1.0;1.0;1.0
100.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
100.0;480.0;0.0;0.0;0.0;1.0;0.0;0.0
100.0;490.0;1.0;0.0;0.0;0.0;1.0;0.0
110.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;260.0;1.0;1.0;0.0;0.0;0.0;0.0
110.0;270.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;280.0;1.0;0.0;1.0;0.0;1.0;0.0
110.0;290.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;300.0;1.0;0.0;0.0;0.0;0.0;1.0
110.0;310.0;1.0;0.0;1.0;0.0;0.0;1.0
110.0;320.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;330.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;340.0;1.0;0.0;1.0;1.0;0.0;0.0
110.0;350.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;360.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;380.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;390.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;400.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;410.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;420.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;430.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;440.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;450.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;460.0;1.0;0.0;0.0;0.0;1.0;0.0
110.0;470.0;1.0;0.0;0.0;0.0;1.0;0.0
110.0;480.0;1.0;0.0;0.0;0.0;0.0;0.0
110.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
120.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
120.0;260.0;0.0;0.0;1.0;1.0;0.0;0.0
120.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;290.0;0.0;1.0;0.0;0.0;0.0;0.0
120.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;360.0;0.0;0.0;0.0;0.0;1.0;0.0
120.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
120.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;410.0;0.0;1.0;0.0;0.0;0.0;0.0
120.0;420.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;450.0;0.0;1.0;0.0;0.0;0.0;0.0
120.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;470.0;0.0;0.0;0.0;0.0;0.0;1.0
120.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
120.0;490.0;1.0;1.0;1.0;0.0;1.0;1.0
130.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
130.0;260.0;0.0;0.0;0.0;1.0;0.0;0.0
130.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;280.0;0.0;0.0;0.0;1.0;1.0;0.0
130.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;330.0;0.0;1.0;0.0;0.0;0.0;0.0
130.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;360.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
130.0;380.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;390.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;420.0;0.0;0.0;0.0;0.0;1.0;0.0
130.0;430.0;0.0;1.0;1.0;1.0;1.0;0.0
130.0;440.0;0.0;1.0;0.0;0.0;0.0;1.0
130.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;470.0;0.0;0.0;1.0;0.0;0.0;0.0
130.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
130.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
140.0;250.0;1.0;0.0;0.0;1.0;0.0;0.0
140.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;280.0;0.0;0.0;0.0;0.0;1.0;0.0
140.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;300.0;0.0;1.0;0.0;0.0;0.0;0.0
140.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;320.0;0.0;0.0;0.0;0.0;1.0;0.0
140.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;350.0;0.0;1.0;0.0;0.0;0.0;0.0
140.0;360.0;0.0;0.0;0.0;0.0;0.0;1.0
140.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
140.0;380.0;0.0;1.0;0.0;0.0;1.0;1.0
140.0;390.0;0.0;0.0;1.0;0.0;0.0;0.0
140.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;410.0;0.0;0.0;1.0;0.0;0.0;1.0
140.0;420.0;0.0;0.0;0.0;1.0;0.0;0.0
140.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;450.0;0.0;0.0;1.0;0.0;0.0;0.0
140.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
140.0;470.0;0.0;0.0;0.0;1.0;0.0;0.0
140.0;480.0;0.0;1.0;0.0;0.0;0.0;0.0
140.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
150.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
150.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;290.0;0.0;0.0;1.0;0.0;0.0;0.0
150.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;320.0;0.0;0.0;1.0;0.0;0.0;0.0
150.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;350.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;360.0;0.0;0.0;0.0;0.0;1.0;0.0
150.0;370.0;1.0;0.0;0.0;0.0;0.0;0.0
150.0;380.0;0.0;0.0;0.0;0.0;1.0;0.0
150.0;390.0;0.0;1.0;0.0;0.0;0.0;0.0
150.0;400.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;410.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;420.0;0.0;0.0;0.0;0.0;1.0;0.0
150.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;440.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;460.0;0.0;0.0;0.0;0.0;0.0;1.0
150.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;480.0;0.0;0.0;0.0;0.0;0.0;0.0
150.0;490.0;1.0;0.0;0.0;0.0;0.0;0.0
160.0;250.0;1.0;0.0;0.0;0.0;0.0;0.0
160.0;260.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;270.0;0.0;0.0;0.0;0.0;1.0;0.0
160.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;290.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;320.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;330.0;0.0;0.0;1.0;0.0;1.0;0.0
160.0;340.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;350.0;0.0;0.0;0.0;0.0;0.0;1.0
160.0;360.0;0.0;0.0;0.0;1.0;0.0;0.0
160.0;370.0;1.0;0.0;0.0;1.0;0.0;0.0
160.0;380.0;0.0;1.0;0.0;0.0;1.0;0.0
160.0;390.0;0.0;0.0;1.0;0.0;0.0;0.0
160.0;400.0;0.0;0.0;0.0;0.0;1.0;0.0
160.0;410.0;0.0;1.0;1.0;0.0;0.0;0.0
160.0;420.0;0.0;0.0;0.0;1.0;0.0;0.0
160.0;430.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;440.0;0.0;1.0;0.0;0.0;0.0;0.0
160.0;450.0;0.0;0.0;1.0;0.0;0.0;0.0
160.0;460.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;470.0;0.0;0.0;0.0;0.0;0.0;0.0
160.0;480.0;0.0;0.0;1.0;0.0;0.0;1.0
160.0;490.0;1.0;0.0;0.0;0.0;1.0;0.0
170.0;250.0;1.0;0.0;0.0;1.0;0.0;1.0
170.0;260.0;0.0;1.0;0.0;1.0;0.0;1.0
170.0;270.0;0.0;0.0;0.0;0.0;0.0;0.0
170.0;280.0;0.0;1.0;0.0;0.0;0.0;0.0
170.0;290.0;0.0;0.0;1.0;1.0;0.0;0.0
170.0;300.0;0.0;0.0;0.0;0.0;0.0;0.0
170.0;310.0;0.0;0.0;0.0;0.0;0.0;0.0
